date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2015-03-03,129.36,117.34389999999999,113.21949999999998,1.0,0.0,500.0,0.0,64680.00000000001,77752.9,142432.9,0.0009487139304233949,0.42432899999999996
2015-03-04,128.54,117.6617,113.49690000000001,1.0,0.0,500.0,0.0,64269.99999999999,77752.9,142022.9,-0.002878548425258476,0.42022899999999996
2015-03-05,126.41,117.9543,113.7508,1.0,0.0,500.0,0.0,63205.0,77752.9,140957.9,-0.00749879068798065,0.4095789999999999
2015-03-06,126.6,118.2275,114.0095,1.0,0.0,500.0,0.0,63300.0,77752.9,141052.9,0.0006739600973055815,0.4105289999999999
2015-03-09,127.14,118.5195,114.28280000000001,1.0,0.0,500.0,0.0,63570.0,77752.9,141322.9,0.0019141754618303697,0.41322900000000007
2015-03-10,124.51,118.7695,114.5404,1.0,0.0,500.0,0.0,62255.0,77752.9,140007.9,-0.00930493218013495,0.4000790000000001
2015-03-11,122.24,118.93449999999999,114.78739999999999,1.0,0.0,500.0,0.0,61120.0,77752.9,138872.9,-0.008106685408466263,0.3887290000000001
2015-03-12,124.45,119.1453,115.0693,1.0,0.0,500.0,0.0,62225.0,77752.9,139977.9,0.007956916000170011,0.3997790000000001
2015-03-13,123.59,119.3667,115.32849999999999,1.0,0.0,500.0,0.0,61795.0,77752.9,139547.9,-0.0030719134949159788,0.39547900000000014
2015-03-16,124.95,119.65810000000002,115.5804,1.0,0.0,500.0,0.0,62475.0,77752.9,140227.9,0.004872878774958345,0.4022790000000003
2015-03-17,127.04,120.01230000000001,115.82610000000001,1.0,0.0,500.0,0.0,63520.0,77752.9,141272.9,0.007452154671074629,0.4127290000000001
2015-03-18,128.47,120.4567,116.0809,1.0,0.0,500.0,0.0,64235.0,77752.9,141987.9,0.005061126373140157,0.4198790000000001
2015-03-19,127.495,120.8814,116.30754999999999,1.0,0.0,500.0,0.0,63747.5,77752.9,141500.4,-0.0034333911551618357,0.41500400000000015
2015-03-20,125.9,121.2444,116.51435000000001,1.0,0.0,500.0,0.0,62950.0,77752.9,140702.9,-0.005636026470596578,0.4070290000000001
2015-03-23,127.21,121.5508,116.73535,1.0,0.0,500.0,0.0,63605.0,77752.9,141357.9,0.004655199004427013,0.4135789999999999
2015-03-24,126.69,121.8444,116.93485000000001,1.0,0.0,500.0,0.0,63345.0,77752.9,141097.9,-0.0018393029324855759,0.410979
